length,maxspeed,geometry,highway,cost,incoming_cell,outgoing_cell,lca_res,id
98.50299999999999,30.0,"LINESTRING (-122.92154693603516 49.27764129638672, -122.92141723632812 49.27763366699219, -122.9212646484375 49.27764892578125, -122.92107391357422 49.27766799926758, -122.92098999023438 49.27766799926758, -122.92089080810547 49.27766799926758, -122.92070007324219 49.277652740478516, -122.92052459716797 49.27762985229492, -122.9203109741211 49.27758026123047, -122.92021179199219 49.2775764465332)",tertiary_link,11.820359999999997,644733695069033029,644733695069283890,8,0
53.933,30.0,"LINESTRING (-122.92154693603516 49.27764129638672, -122.9213638305664 49.27770233154297, -122.92121124267578 49.27776336669922, -122.92109680175781 49.27781677246094, -122.92096710205078 49.277931213378906)",tertiary,6.471959999999999,644733695069345412,644733695069283890,9,1
684.05,50.0,"LINESTRING (-122.92154693603516 49.27764129638672, -122.9217529296875 49.27759552001953, -122.92263793945312 49.277427673339844, -122.92477416992188 49.27701187133789, -122.9250259399414 49.2769660949707, -122.92523956298828 49.276939392089844, -122.9254379272461 49.27692794799805, -122.92565155029297 49.27692413330078, -122.92584991455078 49.27693557739258, -122.92718505859375 49.277042388916016, -122.92876434326172 49.27717971801758, -122.9290771484375 49.27720260620117, -122.92931365966797 49.2772102355957, -122.929443359375 49.27720642089844, -122.9295654296875 49.27719497680664, -122.9296875 49.27717208862305, -122.92979431152344 49.27714157104492, -122.92989349365234 49.277103424072266, -122.92997741699219 49.277061462402344, -122.93006896972656 49.27701950073242, -122.93016815185547 49.276947021484375, -122.93031311035156 49.27680587768555, -122.930419921875 49.27666473388672)",tertiary,49.251599999999996,644733695063774494,644733695069283890,7,2
35.488,30.0,"LINESTRING (-122.92096710205078 49.277931213378906, -122.9208984375 49.27798843383789, -122.92081451416016 49.27809524536133, -122.92074584960938 49.27821350097656)",tertiary,4.258559999999999,644733695069337920,644733695069345412,10,3
53.93300000000001,30.0,"LINESTRING (-122.92096710205078 49.277931213378906, -122.92109680175781 49.27781677246094, -122.92121124267578 49.27776336669922, -122.9213638305664 49.27770233154297, -122.92154693603516 49.27764129638672)",tertiary,6.47196,644733695069283890,644733695069345412,9,4
38.885999999999996,40.0,"LINESTRING (-122.92096710205078 49.277931213378906, -122.92082214355469 49.27785873413086, -122.92078399658203 49.277835845947266, -122.92054748535156 49.277713775634766)",unclassified,3.4997399999999996,644733695069341509,644733695069345412,10,5
71.522,50.0,"LINESTRING (-122.90415954589844 49.235435485839844, -122.90400695800781 49.23543930053711, -122.90397644042969 49.23543930053711, -122.9031753540039 49.235416412353516)",tertiary,5.149584,644733726893923147,644733726893835019,9,6
314.651,50.0,"LINESTRING (-122.90415954589844 49.235435485839844, -122.904052734375 49.235347747802734, -122.90399169921875 49.235294342041016, -122.90364837646484 49.23503112792969, -122.90321350097656 49.234676361083984, -122.90145111083984 49.23322677612305)",tertiary,22.654872,644733726890500259,644733726893835019,7,7
24.285,50.0,"LINESTRING (-122.90415954589844 49.235435485839844, -122.90425872802734 49.235511779785156, -122.90431213378906 49.23554992675781, -122.90437316894531 49.23560333251953)",tertiary,1.7485199999999999,644733726893839441,644733726893835019,10,8
41.588,50.0,"LINESTRING (-122.90415954589844 49.235435485839844, -122.90431213378906 49.23542785644531, -122.90435791015625 49.23542404174805, -122.90444946289062 49.23541259765625, -122.9045181274414 49.23539733886719, -122.90458679199219 49.235382080078125, -122.90470886230469 49.23534393310547)",tertiary,2.994336,644733726893840718,644733726893835019,10,9
71.008,50.0,"LINESTRING (-122.9031753540039 49.235416412353516, -122.90237426757812 49.235389709472656, -122.9021987915039 49.235382080078125)",tertiary,5.112576,644733726893916302,644733726893923147,10,10
71.522,50.0,"LINESTRING (-122.9031753540039 49.235416412353516, -122.90397644042969 49.23543930053711, -122.90400695800781 49.23543930053711, -122.90415954589844 49.235435485839844)",tertiary,5.149584,644733726893835019,644733726893923147,9,11
153.661,20.0,"LINESTRING (-122.9031753540039 49.235416412353516, -122.90316772460938 49.23536682128906, -122.90316772460938 49.23535919189453, -122.90315246582031 49.2353401184082, -122.90277099609375 49.23503875732422, -122.90189361572266 49.23432922363281)",service,27.65898,644733726894012973,644733726893923147,9,12
63.738,50.0,"LINESTRING (-122.9021987915039 49.235382080078125, -122.90205383300781 49.23537826538086, -122.90132141113281 49.2353630065918)",tertiary,4.589136,644733726893882280,644733726893916302,9,13
12.146,30.0,"LINESTRING (-122.9021987915039 49.235382080078125, -122.90220642089844 49.23532485961914, -122.90218353271484 49.23527526855469)",residential,1.45752,644733726893919306,644733726893916302,11,14
