,incoming_edge,outgoing_edge
0,"(7016006731, 7016006763)","(7016006763, 7016006760)"
1,"(167873255, 11980662584)","(11980662584, 167845227)"
2,"(11980909215, 11980909197)","(11980909197, 11980909196)"
3,"(167862553, 167790717)","(167790717, 167790704)"
4,"(167862622, 167978652)","(167978652, 167848877)"
5,"(167931718, 167931719)","(167931719, 168073116)"
6,"(11308349222, 11308349221)","(11308349221, 11308349209)"
7,"(167930016, 167849518)","(167849518, 167930016)"
8,"(11308349228, 11308349219)","(11308349219, 11308349231)"
9,"(167791970, 167791975)","(167791975, 167791970)"
10,"(12725741665, 12725741662)","(12725741662, 12725741665)"
11,"(167862597, 167960698)","(167960698, 167976612)"
12,"(7009847802, 7009847804)","(7009847804, 7009847802)"
13,"(168068105, 167821145)","(167821145, 168068105)"
14,"(167935278, 167886319)","(167886319, 167935278)"
15,"(11204131592, 11204131588)","(11204131588, 11204131553)"
16,"(11980909196, 167835205)","(167835205, 11980909196)"
17,"(7009822247, 7009822246)","(7009822246, 7009822242)"
18,"(167829677, 167829691)","(167829691, 6864382257)"
19,"(167895469, 167895478)","(167895478, 167895469)"
20,"(167978630, 167832344)","(167832344, 4575838559)"
21,"(8890445763, 8890445917)","(8890445917, 8890445771)"
22,"(167997300, 167808847)","(167808847, 167997300)"
23,"(12725716083, 12725716080)","(12725716080, 12725716079)"
24,"(7016006760, 9888956671)","(9888956671, 3469851442)"
25,"(12723388777, 12723388778)","(12723388778, 12723388769)"
26,"(12728185806, 12728185821)","(12728185821, 12728185806)"
27,"(12728249042, 12728249037)","(12728249037, 167922472)"
28,"(7009847795, 7009847794)","(7009847794, 7009847795)"
29,"(168010991, 167885972)","(167885972, 167885981)"
30,"(7018292432, 7018292280)","(7018292280, 7018292281)"
31,"(8896164398, 8896164397)","(8896164397, 8896164399)"
32,"(167850248, 167895090)","(167895090, 167947091)"
33,"(167953692, 168036145)","(168036145, 167953692)"
34,"(10133642774, 10133642776)","(10133642776, 167799553)"
35,"(167791975, 167999430)","(167999430, 167791975)"
36,"(12862536209, 12862535995)","(12862535995, 12862536209)"
