source,target,id,length,maxspeed,geometry,highway,cost,incoming_cell,outgoing_cell,lca_res
167790704,167862530,"(167790704, 167862530)",80.287,60.0,"LINESTRING (-84.60797882080078 37.091793060302734, -84.60856628417969 37.092342376708984)",secondary,4.81722,8f44cb2c92f38a0,8f44cb2c928db05,8
167790704,167790717,"(167790704, 167790717)",102.09700000000001,60.0,"LINESTRING (-84.60797882080078 37.091793060302734, -84.60781860351562 37.091644287109375, -84.60771942138672 37.091575622558594, -84.60761260986328 37.09152603149414, -84.60749816894531 37.091495513916016, -84.60743713378906 37.091487884521484, -84.6073226928711 37.091487884521484, -84.6072006225586 37.09150314331055, -84.60697937011719 37.091552734375)",secondary,6.12582,8f44cb2c928e8c9,8f44cb2c928db05,10
167790704,167825885,"(167790704, 167825885)",323.104,50.0,"LINESTRING (-84.60797882080078 37.091793060302734, -84.60802459716797 37.09174728393555, -84.60813903808594 37.09163284301758, -84.60823822021484 37.091522216796875, -84.60829162597656 37.0914421081543, -84.60832214355469 37.09139633178711, -84.60836029052734 37.0912971496582, -84.6083755493164 37.091243743896484, -84.60839080810547 37.091129302978516, -84.60843658447266 37.090370178222656, -84.60844421386719 37.0899772644043, -84.60844421386719 37.08898162841797)",tertiary,23.263488,8f44cb2c938d798,8f44cb2c928db05,8
167790717,167790719,"(167790717, 167790719)",111.432,60.0,"LINESTRING (-84.60697937011719 37.091552734375, -84.60577392578125 37.091835021972656)",secondary,6.685919999999999,8f44cb2c929809b,8f44cb2c928e8c9,9
167790717,167862553,"(167790717, 167862553)",84.31700000000001,30.0,"LINESTRING (-84.60697937011719 37.091552734375, -84.60700225830078 37.09172439575195, -84.60713958740234 37.09219741821289, -84.607177734375 37.09229278564453)",residential,10.11804,8f44cb2c928b12d,8f44cb2c928e8c9,10
167790717,167790704,"(167790717, 167790704)",102.09700000000001,60.0,"LINESTRING (-84.60697937011719 37.091552734375, -84.6072006225586 37.09150314331055, -84.6073226928711 37.091487884521484, -84.60743713378906 37.091487884521484, -84.60749816894531 37.091495513916016, -84.60761260986328 37.09152603149414, -84.60771942138672 37.091575622558594, -84.60781860351562 37.091644287109375, -84.60797882080078 37.091793060302734)",secondary,6.12582,8f44cb2c928db05,8f44cb2c928e8c9,10
167790717,167833617,"(167790717, 167833617)",82.233,30.0,"LINESTRING (-84.60697937011719 37.091552734375, -84.60696411132812 37.09151077270508, -84.60677337646484 37.0908317565918)",residential,9.86796,8f44cb2c9280baa,8f44cb2c928e8c9,9
167790719,167790717,"(167790719, 167790717)",111.432,60.0,"LINESTRING (-84.60697937011719 37.091552734375, -84.60577392578125 37.091835021972656)",secondary,6.685919999999999,8f44cb2c928e8c9,8f44cb2c929809b,9
167790719,7673816253,"(167790719, 7673816253)",45.4,30.0,"LINESTRING (-84.60577392578125 37.091835021972656, -84.6058120727539 37.091976165771484, -84.60591125488281 37.092227935791016)",residential,5.4479999999999995,8f44cb2c929ba14,8f44cb2c929809b,10
167790719,7673816256,"(167790719, 7673816256)",37.401,60.0,"LINESTRING (-84.60577392578125 37.091835021972656, -84.6056900024414 37.091854095458984, -84.6053695678711 37.0919303894043)",secondary,2.24406,8f44cb2c929a0e5,8f44cb2c929809b,10
167790719,167833622,"(167790719, 167833622)",81.668,30.0,"LINESTRING (-84.60577392578125 37.091835021972656, -84.60574340820312 37.091766357421875, -84.60559844970703 37.091461181640625, -84.6054916381836 37.09113693237305)",residential,9.80016,8f44cb2c929171a,8f44cb2c929809b,9
167790745,167790747,"(167790745, 167790747)",100.382,30.0,"LINESTRING (-84.59418487548828 37.085689544677734, -84.59452056884766 37.086551666259766)",residential,12.04584,8f44cb2cbb6665b,8f44cb2c94d8781,6
167790745,167944271,"(167790745, 167944271)",185.592,30.0,"LINESTRING (-84.59418487548828 37.085689544677734, -84.59325408935547 37.08592987060547, -84.59362030029297 37.086769104003906)",residential,22.27104,8f44cb2cbb73929,8f44cb2c94d8781,6
167790745,167860640,"(167790745, 167860640)",302.48,30.0,"LINESTRING (-84.59418487548828 37.085689544677734, -84.59403991699219 37.08536911010742, -84.59379577636719 37.08478927612305, -84.59346771240234 37.0839729309082, -84.59378814697266 37.08387756347656, -84.59455108642578 37.08368682861328)",residential,36.2976,8f44cb2c94f031d,8f44cb2c94d8781,9
167790745,167860643,"(167790745, 167860643)",98.909,30.0,"LINESTRING (-84.59418487548828 37.085689544677734, -84.59449768066406 37.08561325073242, -84.59524536132812 37.08541488647461)",residential,11.86908,8f44cb2c94ce090,8f44cb2c94d8781,9
167790747,167790749,"(167790747, 167790749)",100.816,30.0,"LINESTRING (-84.59452056884766 37.086551666259766, -84.59488677978516 37.08740997314453)",residential,12.09792,8f44cb2cbb45875,8f44cb2cbb6665b,9
167790747,167944271,"(167790747, 167944271)",83.436,30.0,"LINESTRING (-84.59452056884766 37.086551666259766, -84.59362030029297 37.086769104003906)",residential,10.01232,8f44cb2cbb73929,8f44cb2cbb6665b,9
167790747,167790745,"(167790747, 167790745)",100.382,30.0,"LINESTRING (-84.59418487548828 37.085689544677734, -84.59452056884766 37.086551666259766)",residential,12.04584,8f44cb2c94d8781,8f44cb2cbb6665b,6
167790747,167860646,"(167790747, 167860646)",101.609,30.0,"LINESTRING (-84.59561157226562 37.086273193359375, -84.59452056884766 37.086551666259766)",residential,12.193079999999998,8f44cb2c94cb39e,8f44cb2cbb6665b,6
167790749,167944274,"(167790749, 167944274)",83.813,30.0,"LINESTRING (-84.59488677978516 37.08740997314453, -84.59398651123047 37.08763885498047)",residential,10.057559999999999,8f44cb2cbb404f3,8f44cb2cbb45875,10
167790749,167790747,"(167790749, 167790747)",100.816,30.0,"LINESTRING (-84.59452056884766 37.086551666259766, -84.59488677978516 37.08740997314453)",residential,12.09792,8f44cb2cbb6665b,8f44cb2cbb45875,9
167790749,167860650,"(167790749, 167860650)",97.997,30.0,"LINESTRING (-84.59593963623047 37.08714294433594, -84.59488677978516 37.08740997314453)",residential,11.75964,8f44cb2c97922cb,8f44cb2cbb45875,6
167790756,167885972,"(167790756, 167885972)",577.497,60.0,"LINESTRING (-84.62287139892578 37.050472259521484, -84.62284851074219 37.05054473876953, -84.6229019165039 37.05073928833008, -84.62293243408203 37.050907135009766, -84.6229248046875 37.05110168457031, -84.62284851074219 37.051490783691406, -84.62265014648438 37.05260467529297, -84.62242889404297 37.05376052856445, -84.62238311767578 37.054100036621094, -84.62220764160156 37.05427169799805, -84.6211929321289 37.055294036865234)","['secondary', 'residential']",34.64982,8f44cb2cd94c086,8f44cb2eb256582,5
167790770,8891102929,"(167790770, 8891102929)",47.096999999999994,30.0,"LINESTRING (-84.62318420410156 37.05063247680664, -84.62340545654297 37.0509033203125, -84.62347412109375 37.050987243652344)",residential,5.651639999999999,8f44cb2eb250742,8f44cb2eb2563a3,10
8891102929,8891102928,"(8891102929, 8891102928)",62.939,30.0,"LINESTRING (-84.62347412109375 37.050987243652344, -84.62354278564453 37.051082611083984, -84.62377166748047 37.051387786865234, -84.62383270263672 37.051475524902344)",residential,7.55268,8f44cb2eb25e8a1,8f44cb2eb250742,9
8891102929,8891102942,"(8891102929, 8891102942)",92.713,20.0,"LINESTRING (-84.62347412109375 37.050987243652344, -84.62346649169922 37.05092239379883, -84.62347412109375 37.050872802734375, -84.62351989746094 37.050819396972656, -84.62359619140625 37.0507698059082, -84.62418365478516 37.050628662109375, -84.62425231933594 37.05060577392578, -84.62427520751953 37.05058670043945)",service,16.68834,8f44cb2eb2465a2,8f44cb2eb250742,9
8891102929,167790770,"(8891102929, 167790770)",47.096999999999994,30.0,"LINESTRING (-84.62347412109375 37.050987243652344, -84.62340545654297 37.0509033203125, -84.62318420410156 37.05063247680664)",residential,5.651639999999999,8f44cb2eb2563a3,8f44cb2eb250742,10
8891102928,8891036912,"(8891102928, 8891036912)",52.067,20.0,"LINESTRING (-84.62433624267578 37.05123519897461, -84.62383270263672 37.051475524902344)",service,9.372060000000001,8f44cb2eb24275a,8f44cb2eb25e8a1,9
